
26/06/2017:	8A ~M Y+ 'Z CV @^ t3 LD e; 5v hn |. )" 1r 9k q! F7 B[ pj T> Ix Ka Hs \_ N( :Q z, ic w? y} 
27/06/2017:	zC td #I ,F b: U' ny i" =T ]P Q[ ~$ &W <L e0 -q a3 \1 x) cw }B X% m4 @D HM up +S o( ;k 78 
28/06/2017:	"m VQ K4 ND YS TJ &$ C^ I( R' >n oG iA f\ .; Wu x= :] j< q) 13 e% `p ~, ?v #l +b y- 8E Ld 
29/06/2017:	c8 3g 1G MB 9# DZ 6J wu E| /0 CA IH va F4 X^ :< S_ 2y x} q+ Ri {e .= [m *` z& $h fQ ,t %; 
30/06/2017:	GF J} yI NC YZ ~9 c' \g Q$ (r B[ "0 ^` =6 )| Av *n UT 8a ;3 &S p/ !X >d t@ ,z D] x+ K< W7 
01/07/2017:	E| c] 59 ab 3" B' e! ;y lz ZI O2 /m +C fK F% {^ t# 7g <Q *6 X? )W p, @8 o= rR $d qH ~D >i 
02/07/2017:	gX A= \S k. V5 T8 Kl [< s/ ,M vF 30 iN 'H )b 6o Cc 2? >D Zq &@ Ya jp Of LE J^ B$ yQ t{ md 
03/07/2017:	Ak |? lw KP +r #x \` tV 5N Oo HE >$ <8 Z} 9j Cg S% XD 'R aB "G L) ~p n- I0 bi *^ =s &v e6 
04/07/2017:	d; "N b# y9 =] V. 36 :^ z% )D WJ sa ?t /! cg G_ [Y 'L Xl @O 74 2U 1+ Ke }8 A{ *< Qk p5 -` 
05/07/2017:	'O 5, KS )M 2v .# G` ra U9 =] ~B Ln ?< N+ Zd y@ 8$ (R q7 x* /W HY %m h& i; -u QI tz D[ Ek 
06/07/2017:	$x X= a} pZ iB gQ tK j5 hv C# AU f) ,J N> u% D/ 09 w! d4 sl -: Pr &b YL .^ `o {6 yG ;< me 
07/07/2017:	xy g3 ?A TQ 09 K! PS NH /I ]v <= &r wF L- ^f h8 cj ;{ G} oD XO z\ .u nB 7| ~a Z+ )E sk p' 
08/07/2017:	(3 eG F\ AL -Y Dh 6/ pc 71 b& 2S Ot B; T" w5 ]9 UE `$ )H |a =N W~ qr v' kK [, 4* Jl Zf ^z 
09/07/2017:	#f rp :L [Z G& kw vg 4S ;} A% 71 mM X! i@ Y? QO W+ (= )` C/ qc 9o U\ |6 V" ~x a^ b* jE {y 
10/07/2017:	`L "/ +D n~ 'M %! F} @W =w 0m u4 Si pU xz gH *R o1 jG fa 2V Y- JC t? rI ]# 5k 8$ NP h< ^y 
11/07/2017:	kq fw SQ 5# bt E% L; *{ U~ Gp `( u< @x H- &I ?Y ym vz JZ hc |e Di O0 =\ RW F+ /V s6 NX jg 
12/07/2017:	Fr 5y !0 Js Y^ Ha TE wU #B 1b mZ (~ K- o3 R| f8 p, *x '_ .D +d M% Aj Xv Q\ l= SC 2/ G: `i 
13/07/2017:	Ga ef *S z; d~ ,O uY x! $4 VR 35 @J p" +D v_ &/ H? [\ ot =E 8{ )Z Xc ]l k: 9y qL QN KM B` 
14/07/2017:	yD rM 70 ;` T: )1 Wk 9! EV \5 |I f~ Lz ^Y H, oq QG s[ FC 3p xi &X >? 6U =R w. uA <- n# vl 
15/07/2017:	jv ~] Pw d8 N; >V ,Q B! ml Ga |\ 2g I) HX Zp Dc FT Mo .h '? :/ <t WC (0 {S O= n@ f$ 3k Ae 
